1,2,5,20,27,33,
1,2,11,15,32,34,
11,13,27,30,32,39,
15,20,21,29,32,44,
3,6,16,22,38,44,
17,21,26,31,39,40,
1,12,22,29,31,33,
5,14,18,38,40,45,
4,19,25,28,39,41,
1,6,13,18,25,41,
1,3,15,18,27,37,
3,6,13,24,29,31,
4,14,15,17,21,25,
1,10,19,33,36,40,
5,10,21,26,34,40,
4,6,15,20,32,43,
1,18,19,21,39,43,
17,24,30,38,43,44,
8,15,23,29,30,37,
6,7,12,13,16,25,
3,10,11,14,36,41,
2,5,15,21,31,41,
9,28,33,34,38,45,
12,20,23,32,37,40,
9,11,21,34,39,42,
8,24,33,36,38,44,
14,18,21,22,28,34,
9,18,21,28,41,43,
5,10,18,24,30,44,
11,12,21,36,40,41,
13,19,21,24,40,43,
11,15,26,32,35,36,
10,11,21,30,44,45,
13,16,21,25,29,43,
3,12,14,37,40,44,
1,16,19,25,38,44,
2,4,9,16,17,23,
4,5,8,13,15,36,
3,4,9,10,12,42,
13,23,25,27,38,40,
24,27,36,37,41,43,
14,18,22,28,32,35,
18,28,30,32,34,37,
1,6,7,12,27,34,
4,15,25,29,30,44,
2,14,21,28,33,37,
1,7,11,12,24,39,
4,9,13,28,32,43,
1,6,11,13,19,36,
8,15,16,22,34,38,
14,17,28,37,41,43,
15,24,25,33,37,43,
2,12,14,18,31,45,
13,15,22,28,30,38,
13,17,27,31,39,42,
2,18,22,33,35,45,
5,7,10,15,16,22,
3,15,20,28,30,40,
2,8,24,26,36,45,
11,13,16,34,37,40,
7,9,22,25,32,37,
19,21,23,24,31,44,
6,18,25,29,31,42,
19,20,22,32,41,45,
16,17,19,29,31,33,
17,22,24,28,34,37,
17,19,20,21,34,35,
2,9,27,33,36,41,
5,7,17,29,31,32,
3,13,27,33,42,43,
11,13,16,33,39,40,
1,9,14,15,25,43,
6,12,30,33,38,43,
8,10,12,24,28,31,
12,14,30,32,38,41,
19,20,21,22,23,33,
2,9,19,27,33,45,
1,21,29,30,36,42,
6,7,17,33,39,44,
9,10,31,38,42,44,
2,7,17,32,41,44,
2,4,16,28,33,34,
10,16,20,26,35,37,
1,10,21,23,33,38,
6,11,23,24,36,42,
6,7,9,15,19,33,
1,5,7,10,16,32,
18,23,24,34,37,42,
3,6,26,33,34,44,
16,21,27,35,39,42,
4,5,28,39,42,44,
6,11,18,28,29,42,
9,14,18,30,32,37,
